Team1,Team2,Status,Match_Type,Scorecard_url
Netherlands,Afghanistan,Afghanistan won by 7 wickets (with 111 balls remaining),2,https://www.espncricinfo.com/series/icc-cricket-world-cup-2023-24-1367856/afghanistan-vs-netherlands-34th-match-1384425/full-scorecard
New Zealand,Pakistan,Pakistan won by 21 runs (DLS method),2,https://www.espncricinfo.com/series/icc-cricket-world-cup-2023-24-1367856/new-zealand-vs-pakistan-35th-match-1384426/full-scorecard
Australia,England,Australia won by 33 runs,2,https://www.espncricinfo.com/series/icc-cricket-world-cup-2023-24-1367856/australia-vs-england-36th-match-1384427/full-scorecard
India,South Africa,India won by 243 runs,2,https://www.espncricinfo.com/series/icc-cricket-world-cup-2023-24-1367856/india-vs-south-africa-37th-match-1384428/full-scorecard
Sri Lanka,Bangladesh,Bangladesh won by 3 wickets (with 53 balls remaining),2,https://www.espncricinfo.com/series/icc-cricket-world-cup-2023-24-1367856/bangladesh-vs-sri-lanka-38th-match-1384429/full-scorecard
Afghanistan,Australia,Australia won by 3 wickets (with 19 balls remaining),2,https://www.espncricinfo.com/series/icc-cricket-world-cup-2023-24-1367856/afghanistan-vs-australia-39th-match-1384430/full-scorecard
England,Netherlands,England won by 160 runs,2,https://www.espncricinfo.com/series/icc-cricket-world-cup-2023-24-1367856/england-vs-netherlands-40th-match-1384431/full-scorecard
Sri Lanka,New Zealand,New Zealand won by 5 wickets (with 160 balls remaining),2,https://www.espncricinfo.com/series/icc-cricket-world-cup-2023-24-1367856/new-zealand-vs-sri-lanka-41st-match-1384432/full-scorecard
Afghanistan,South Africa,South Africa won by 5 wickets (with 15 balls remaining),2,https://www.espncricinfo.com/series/icc-cricket-world-cup-2023-24-1367856/afghanistan-vs-south-africa-42nd-match-1384433/full-scorecard
Bangladesh,Australia,Australia won by 8 wickets (with 32 balls remaining),2,https://www.espncricinfo.com/series/icc-cricket-world-cup-2023-24-1367856/australia-vs-bangladesh-43rd-match-1384434/full-scorecard
England,Pakistan,England won by 93 runs,2,https://www.espncricinfo.com/series/icc-cricket-world-cup-2023-24-1367856/england-vs-pakistan-44th-match-1384435/full-scorecard
India,Netherlands,India won by 160 runs,2,https://www.espncricinfo.com/series/icc-cricket-world-cup-2023-24-1367856/india-vs-netherlands-45th-match-1384436/full-scorecard
India,New Zealand,India won by 70 runs,2,https://www.espncricinfo.com/series/icc-cricket-world-cup-2023-24-1367856/india-vs-new-zealand-1st-semi-final-1384437/full-scorecard
South Africa,Australia,Australia won by 3 wickets (with 16 balls remaining),2,https://www.espncricinfo.com/series/icc-cricket-world-cup-2023-24-1367856/australia-vs-south-africa-2nd-semi-final-1384438/full-scorecard
